query1	query2	score	old_scores	new_scores
бланк заявление о прием на работа	приказ на прием работник на работа временно образец и бланк	0.0	-0.007791564799845219	0.018283234909176826
образец служебный записка на компенсация расход на такси	расход на такси при командировка	0.0	0.05005108565092087	-0.06105170398950577
закон о банкротство от 26 октябрь 2002 год	пленум вс рф от 26 июнь 2018 год 27 об оспаривание крупный сделка и сделка	0.0	-0.03102467954158783	-0.06243130564689636
расчет средний заработок для резерв отпуск	справка о средний заработок для опека	0.0	0.06223621964454651	-0.03714410588145256
подсказывать пожалуйста на оплата первый часть патент на енп нужно ли ипать отправлять уведомление	предоставление дополнительный выходной день сотрудник при вакцинация подсказывать пожалуйста можно ли включать оплата данный выходной день в налогооблагаемый база по налог на прибыль	0.0	-0.029089638963341713	-0.176052987575531
положение о служба охрана труд пожарный безопасность и экология	целевой инструктаж по пожарный безопасность	0.0	0.0013652145862579346	0.0058206599205732346
план график при ликвидация	план график 223	0.0	0.008205622434616089	0.015202583745121956
патент на маркетплейс	швея на патент	0.0	0.1111331358551979	0.10697616636753082
положение о представительский расход 2021 год	положение об оплата труд на 2021 год	0.0	0.276850163936615	0.3105604350566864
форма 11 сделка инструкция	форма 1 т условие труд инструкция	0.0	-0.04780403897166252	-0.0414004884660244
налогообложение пособие на погребение	пособие на погребение за счет фсс ндфл страховой	0.0	0.001607455313205719	0.016653934493660927
как возмещать расход на проезд в командировка на личный автомобиль	командировка на служебный авто	1.0	0.9183043241500854	0.795263946056366
работник умирать когда сдавать сзв тд	сзв тд штраф	0.0	-0.05112150311470032	0.13183392584323883
доход от выдача заем раздел 7 декларация ндс	как заполнять раздел 7 декларация по ндс при продажа земля	0.0	0.00012633297592401505	0.012796304188668728
как заполнять книга продажа по операция с прослеживать товар	как отражать в книга продажа выручка по касса	0.0	-0.003926606848835945	-0.0064481887966394424
бессрочный лицензия можно списывать единовременно	на какой срок учитывать бессрочный лицензия	1.0	0.9824248552322388	0.9663141965866089
закупка с ед поставщик по п 9 ст 93 в план график	проверка план график по пункт 5 ст 99	0.0	-0.011736164800822735	0.0035814743023365736
изменять форма экспедиторский расписка и поручение экспедитор	мочь ли водитель перевозчик нанимать экспедитор расписываться в экспедиторский расписка	0.0	0.01244368962943554	0.042511872947216034
контрольный соотношение налог на прибыль с авансовый платеж ежемесячно	контрольный соотношение налоговый декларация ндс	0.0	0.25725477933883667	0.5620743036270142
вычет ндс по несырьевой товар	если импортный товар купить для экспорт вычет когда по ндс	0.0	-0.08723181486129761	0.025705862790346146
фсба аренда пбу 18 02	фсба 25 аренда лес	0.0	-0.03655602037906647	-0.020103247836232185
одобрение крупный сделка в ооо с один участник образец решение	решение об одобрение крупный сделка порядок принятие в оо	0.0	0.14863881468772888	0.2752683162689209
прием на работа нет регистрация у сотрудник	регистрация доверенность у нотариус	0.0	0.012100474908947945	0.02053575962781906
ежемесячный авансовый платеж по налог на прибыль в 2022 год	обеспечительный платеж налог на прибыль	0.0	0.011321861296892166	0.048122256994247437
образец план график 20211	план график 223	0.0	0.08435680717229843	0.062056154012680054
переход на фсба 6 2020 перспективно	увеличение налог на имущество на основной средство при переход на фсба 6 2020	0.0	0.03797220438718796	0.025531379505991936
оценка запас по чистый стоимость продажа	чистый стоимость инвестиция в аренда пример	0.0	-0.022605927661061287	0.03157280385494232
кто мочь подписывать трудовой договор	образец транспортный накладной кто подписывать	0.0	0.10179412364959717	0.07785305380821228
заявление на увольнение генеральный директор по соглашение сторона	увольнение по соглашение сторона после уведомление о сокращение	0.0	0.2829592227935791	0.20242883265018463
контрольный соотношение налог на прибыль в 2023 год	контрольный соотношение налог на прибыль с авансовый платеж ежемесячно	1.0	0.5755492448806763	0.8300492763519287
дисконтирование	может ли ставка дисконтирование быть отрицательный в учет арендатор	0.0	0.09325109422206879	0.07963716983795166
кс 2 и акт выполнять работа один и тот же	нумерация кс 2 и кс 3	0.0	-0.027743499726057053	-0.05651068687438965
компенсация молоко какой документ хранить	приказ о компенсация вместо молоко	1.0	0.048480208963155746	0.14879220724105835
резерв на утилизация шина по фсба 5	трудовой книжка бухгалтерский учет фсба 5	0.0	-0.0026169652119278908	0.00859789177775383
до какой возраст выдаваться новогодний подарок ребенок	новогодний подарок ребенок сотрудник прибыль	0.0	0.0030324887484312057	0.020318757742643356
график отпуск обязательный для работник и для работодатель	как ознакомлять работник с график отпуск	0.0	0.08701059222221375	0.2649984359741211
затрата на производство 5665 пояснение к бух баланс	раздел запас пояснение к бухгалтерский баланс и офр	0.0	-0.0278285164386034	-0.030405843630433083
кто мочь не начислять резерв под отпуск	резерв на отпуск не создаваться учетный политика	0.0	-0.07175186276435852	-0.011694427579641342
рекомендация об уплата алименты с аванс отпускной	соглашение об уплата алименты	0.0	0.035117484629154205	0.007450813427567482
план счет 10	транспортный средство дорогой 10 миллион	0.0	0.00020423810929059982	0.040217265486717224
журнал учет выдавать доверенность в электронный формат	журнал выдавать доверенность подписывать не водитель	1.0	0.9045687913894653	0.7884446382522583
