	query	etalon	label	scores
0	сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию	произошло повышение з/платы в части премии расчет отпускных	0	0.9118971228599548
1	обязателен ли счет на оплату при наличии спецификации? был заключен договор поставки	обязательный ли спецификация договор поставка	0	0.9690655469894409
2	путевой лист в 2025 году можно также вести на бумаге	можно вести трудовую книжку только на бумаге	0	0.9560186862945557
3	как пополнить р/счет ИП за счет собственных средств? Надо делать договор займа	зачет продукции собственного производства в счет займа	0	0.8824846148490906
4	есть ли разъяснение для Управляющих компаний как переходить на НДС с 2025	2025 усн ндс переходящая реализация	0	0.8599821329116821
5	заявление сотрудника на отпуск пример	пример написания заявления на отпуск без содержания	0	0.8691366910934448
6	не работает расчетчик по отпускам	онлайн расчетчик отпуска	0	0.7479887008666992
7	если отпуск с 2 сентября	правило отпуск с 1 сентябрь 2023 год	0	0.949152410030365
8	калькулятор расчета отпускных, не могу зайти	калькулятор расчет сумма отпускной	0	0.9887021780014038
9	Сроки перечисления страховых взносов с отпускных	начисление страховой взнос с отпускной	0	0.9667409062385559
10	не работает расчетчик компенсации за неиспользованный отпуск	расчетчик день компенсация неиспользованный отпуск	0	0.878746747970581
11	как начисляется отпуск сотрудника работающего пол дня	отпуск сколько положено дней сотрудник работал 8 месяцев	0	0.9532926082611084
12	заявление от инвалида о предоставлении удлиненного отпуска	заявление о предоставлении выходных родителю ребенка инвалида	0	0.26092928647994995
13	можно ли совместителю оформлять отпуск на 28 дней	может ли совместитель оформить отпуск без содержания	0	0.8829673528671265
14	почему не работает сервис расчет отпускных	расчет отпускной почему использовать федеральный мрот	0	0.9507116079330444
15	Отпускные положены сотруднику, если он увольняется	сотрудник в отпуске, может ли уволится	0	0.3104534149169922
16	кто должен делать приказ на отпуск гененрального директора?	приказ когда генеральный директор в отпуске на кого возлагают	0	0.8460381031036377
17	Добрый день. Образец заявления на отпуск без оплаты	образец заявление отпуск уход	0	0.9054689407348633
18	Добрый день. Не работает вкладка Сервис расчёт отпускных.	выплата отпускной 2022 сервис	0	0.7516922950744629
19	Добрый день. Продлевает ли отпуск сотрудника больничный с ребенком?	продлеваться ли отпуск сотрудник больничный	0	0.7247338891029358
20	зарабатывают ли отпуск при мобилизации (после приостановления трудового договора)	приостановление действия трудового договора в связи с мобилизацией	0	0.5944197773933411
21	здравствуйте, отпуск с работы по внутреннему совместительству рассчитывается ?	как отправить в отпуск по внутреннему совместительству	0	0.13973736763000488
22	За какой период можно взять компенсация за дополнительный неиспользованный отпуск	когда можно получить компенсацию за неиспользованный отпуск	0	0.19018341600894928
23	вовремя не начислен резерв на оплату отпусков в налоговом учете	почему отказываться начислять резерв оплата отпуск налоговый учет	0	0.844397246837616
24	Здравствуйте. Нужно ли при выплате отпускных удерживать ндфл с питания?	удерживать ндфл с питание	0	0.8867800831794739
25	отпуск по беременности и родам входит в расчет отпускного стажа?	расчет очередного отпуска после отпуска по беременности и родам	0	-0.041888751089572906
26	может ли внешний совместитель получать денежную компенсацию за очередной отпуск?	отпуск за свой счет внешнему совместителю	0	0.790017306804657
27	Добрый день. Директор уходит в отпуск. Как настроить работу предприятия?	директор уходить отпуск и не передавать полномочие	0	0.7676829099655151
28	скажите пожалуйста премия не годовая полностью учитывается при расчете отпускныз?	учитываться премия расчет средний заработок месяц не полностью отрабатывать	0	0.8350356817245483
29	приказ возложение обязанностей на за мдиректора на время отпуска директора	приказ возложение обязанность главный бухгалтер время отпуск	0	0.8733251690864563
