query	etalon	label
сотрудник в отпуске, з.платы за месяц нет- можно ли платить ему премию	произошло повышение з/платы в части премии расчет отпускных	0
обязателен ли счет на оплату при наличии спецификации? был заключен договор поставки	обязательный ли спецификация договор поставка	0
путевой лист в 2025 году можно также вести на бумаге	можно вести трудовую книжку только на бумаге	0
как пополнить р/счет ИП за счет собственных средств? Надо делать договор займа	зачет продукции собственного производства в счет займа	0
есть ли разъяснение для Управляющих компаний как переходить на НДС с 2025	2025 усн ндс переходящая реализация	0
заявление сотрудника на отпуск пример	пример написания заявления на отпуск без содержания	0
не работает расчетчик по отпускам	онлайн расчетчик отпуска	0
если отпуск с 2 сентября	правило отпуск с 1 сентябрь 2023 год	0
калькулятор расчета отпускных, не могу зайти	калькулятор расчет сумма отпускной	0
Сроки перечисления страховых взносов с отпускных	начисление страховой взнос с отпускной	0
не работает расчетчик компенсации за неиспользованный отпуск	расчетчик день компенсация неиспользованный отпуск	0
как начисляется отпуск сотрудника работающего пол дня	отпуск сколько положено дней сотрудник работал 8 месяцев	0
заявление от инвалида о предоставлении удлиненного отпуска	заявление о предоставлении выходных родителю ребенка инвалида	0
можно ли совместителю оформлять отпуск на 28 дней	может ли совместитель оформить отпуск без содержания	0
почему не работает сервис расчет отпускных	расчет отпускной почему использовать федеральный мрот	0
Отпускные положены сотруднику, если он увольняется	сотрудник в отпуске, может ли уволится	0
кто должен делать приказ на отпуск гененрального директора?	приказ когда генеральный директор в отпуске на кого возлагают	0
Добрый день. Образец заявления на отпуск без оплаты	образец заявление отпуск уход	0
Добрый день. Не работает вкладка Сервис расчёт отпускных.	выплата отпускной 2022 сервис	0
Добрый день. Продлевает ли отпуск сотрудника больничный с ребенком?	продлеваться ли отпуск сотрудник больничный	0
зарабатывают ли отпуск при мобилизации (после приостановления трудового договора)	приостановление действия трудового договора в связи с мобилизацией	0
здравствуйте, отпуск с работы по внутреннему совместительству рассчитывается ?	как отправить в отпуск по внутреннему совместительству	0
За какой период можно взять компенсация за дополнительный неиспользованный отпуск	когда можно получить компенсацию за неиспользованный отпуск	0
вовремя не начислен резерв на оплату отпусков в налоговом учете	почему отказываться начислять резерв оплата отпуск налоговый учет	0
Здравствуйте. Нужно ли при выплате отпускных удерживать ндфл с питания?	удерживать ндфл с питание	0
отпуск по беременности и родам входит в расчет отпускного стажа?	расчет очередного отпуска после отпуска по беременности и родам	0
может ли внешний совместитель получать денежную компенсацию за очередной отпуск?	отпуск за свой счет внешнему совместителю	0
Добрый день. Директор уходит в отпуск. Как настроить работу предприятия?	директор уходить отпуск и не передавать полномочие	0
скажите пожалуйста премия не годовая полностью учитывается при расчете отпускныз?	учитываться премия расчет средний заработок месяц не полностью отрабатывать	0
приказ возложение обязанностей на за мдиректора на время отпуска директора	приказ возложение обязанность главный бухгалтер время отпуск	0
как оплачивать если человек работал 1 день находясь в отпуске	сколько человек может находиться в отпуске без содержания	0
