query1	query2	score	old_scores	new_scores
бланк заявление о прием на работа	приказ на прием работник на работа временно образец и бланк	0.0	-0.007791564799845219	0.036760441958904266
образец служебный записка на компенсация расход на такси	расход на такси при командировка	0.0	0.05005108565092087	-0.0656733363866806
закон о банкротство от 26 октябрь 2002 год	пленум вс рф от 26 июнь 2018 год 27 об оспаривание крупный сделка и сделка	0.0	-0.03102467954158783	-0.07716446369886398
расчет средний заработок для резерв отпуск	справка о средний заработок для опека	0.0	0.06223621964454651	-0.04163689911365509
подсказывать пожалуйста на оплата первый часть патент на енп нужно ли ипать отправлять уведомление	предоставление дополнительный выходной день сотрудник при вакцинация подсказывать пожалуйста можно ли включать оплата данный выходной день в налогооблагаемый база по налог на прибыль	0.0	-0.029089638963341713	-0.08751937001943588
положение о служба охрана труд пожарный безопасность и экология	целевой инструктаж по пожарный безопасность	0.0	0.0013652145862579346	0.004402508493512869
план график при ликвидация	план график 223	0.0	0.008205622434616089	0.01191059872508049
патент на маркетплейс	швея на патент	0.0	0.1111331358551979	0.1825864464044571
положение о представительский расход 2021 год	положение об оплата труд на 2021 год	0.0	0.276850163936615	0.30713462829589844
форма 11 сделка инструкция	форма 1 т условие труд инструкция	0.0	-0.04780403897166252	-0.04482622072100639
налогообложение пособие на погребение	пособие на погребение за счет фсс ндфл страховой	0.0	0.001607455313205719	0.029672127217054367
как возмещать расход на проезд в командировка на личный автомобиль	командировка на служебный авто	1.0	0.9183043241500854	0.8756556510925293
работник умирать когда сдавать сзв тд	сзв тд штраф	0.0	-0.05112150311470032	0.15279701352119446
доход от выдача заем раздел 7 декларация ндс	как заполнять раздел 7 декларация по ндс при продажа земля	0.0	0.00012633297592401505	0.022867819294333458
как заполнять книга продажа по операция с прослеживать товар	как отражать в книга продажа выручка по касса	0.0	-0.003926606848835945	0.011211991310119629
бессрочный лицензия можно списывать единовременно	на какой срок учитывать бессрочный лицензия	1.0	0.9824248552322388	0.9696047902107239
закупка с ед поставщик по п 9 ст 93 в план график	проверка план график по пункт 5 ст 99	0.0	-0.011736164800822735	-0.006915870122611523
изменять форма экспедиторский расписка и поручение экспедитор	мочь ли водитель перевозчик нанимать экспедитор расписываться в экспедиторский расписка	0.0	0.01244368962943554	0.10712350159883499
контрольный соотношение налог на прибыль с авансовый платеж ежемесячно	контрольный соотношение налоговый декларация ндс	0.0	0.25725477933883667	0.6429615020751953
вычет ндс по несырьевой товар	если импортный товар купить для экспорт вычет когда по ндс	0.0	-0.08723181486129761	-0.04273325204849243
фсба аренда пбу 18 02	фсба 25 аренда лес	0.0	-0.03655602037906647	0.018831228837370872
одобрение крупный сделка в ооо с один участник образец решение	решение об одобрение крупный сделка порядок принятие в оо	0.0	0.14863881468772888	0.2547961473464966
прием на работа нет регистрация у сотрудник	регистрация доверенность у нотариус	0.0	0.012100474908947945	0.039063092321157455
ежемесячный авансовый платеж по налог на прибыль в 2022 год	обеспечительный платеж налог на прибыль	0.0	0.011321861296892166	0.06731562316417694
образец план график 20211	план график 223	0.0	0.08435680717229843	0.06472183763980865
переход на фсба 6 2020 перспективно	увеличение налог на имущество на основной средство при переход на фсба 6 2020	0.0	0.03797220438718796	0.06309391558170319
оценка запас по чистый стоимость продажа	чистый стоимость инвестиция в аренда пример	0.0	-0.022605927661061287	0.07596029341220856
кто мочь подписывать трудовой договор	образец транспортный накладной кто подписывать	0.0	0.10179412364959717	0.04124276712536812
заявление на увольнение генеральный директор по соглашение сторона	увольнение по соглашение сторона после уведомление о сокращение	0.0	0.2829592227935791	0.26927638053894043
контрольный соотношение налог на прибыль в 2023 год	контрольный соотношение налог на прибыль с авансовый платеж ежемесячно	1.0	0.5755492448806763	0.8537148237228394
дисконтирование	может ли ставка дисконтирование быть отрицательный в учет арендатор	0.0	0.09325109422206879	0.046108171343803406
кс 2 и акт выполнять работа один и тот же	нумерация кс 2 и кс 3	0.0	-0.027743499726057053	-0.0385582372546196
